variable name,title,element type,version,definition,short description,datatype,maximum character quantity,input restriction,minimum value,maximum value,permissible values,permissible value descriptions,permissible value output codes,unit of measure,guidelines/instructions,notes,preferred question text,keywords,references,population.all,domain.general (for all diseases),domain.traumatic brain injury,domain.Parkinson's disease,domain.Friedreich's ataxia,domain.stroke,domain.amyotrophic lateral sclerosis,domain.Huntington's disease,domain.multiple sclerosis,domain.neuromuscular diseases,domain.myasthenia gravis,domain.spinal muscular atrophy,domain.Duchenne muscular dystrophy/Becker muscular dystrophy,domain.congenital muscular dystrophy,domain.spinal cord injury,domain.headache,domain.epilepsy,classification.general (for all diseases),classification.acute hospitalized,classification.concussion/mild TBI,classification.epidemiology,classification.moderate/severe TBI: rehabilitation,classification.Parkinson's disease,classification.Friedreich's ataxia,classification.stroke,classification.amyotrophic lateral sclerosis,classification.Huntington's disease,classification.multiple sclerosis,classification.neuromuscular diseases,classification.myasthenia gravis,classification.spinal muscular atrophy,classification.Duchenne muscular dystrophy/Becker muscular dystrophy,classification.congenital muscular dystrophy,classification.spinal cord injury,classification.headache,classification.epilepsy,historical notes,Label(s),see also,submitting organization name,submitting contact name,submitting contact information,effective date,until date,steward organization name,steward contact name,steward contact information,creation date,last change date,administrative status
AIS_Thorax,Thorax AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,{NULL},{NULL},{NULL},,,,AISCode pre-dot related text for code postions 2-6,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIS_UE,Upper Extremity AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{1,4,3,6,9,2,5}","{1=Minor,4=Severe,3=Serious,""6=Maximal (currently untreatable)"",""9=Unknown severity"",2=Moderate,5=Critical}","{1,4,3,6,9,2,5}",,,,AIS Injury Severity,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISBodyRegion,Abbreviated injury scale (AIS) - Body region,CDE,1,The six body regions assessed with the 6 point intermediate ordinal severuty scale,The six body regions assessed with the 6 point intermediate ordinal severuty scale,ALPHANUMERIC,,1,,,{NULL},{NULL},{NULL},,"Choose one. For each AISInjurySeverityScore value, select the corresponding ISS  body region ",,AISCode pre-dot related text for code postions 2-6,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISDictionaryVersionTyp,Abbreviated injury scale (AIS) - Dictionary version type,CDE,1,A type/version of the Abbreviated Injury Scale (AIS) dictionary used to assess the injury,A type/version of the Abbreviated Injury Scale (AIS) dictionary used to assess the injury,ALPHANUMERIC,,1,,,"{1,4,3,6,9,2,5}","{1=Minor,4=Severe,3=Serious,""6=Maximal (currently untreatable)"",""9=Unknown severity"",2=Moderate,5=Critical}","{1,4,3,6,9,2,5}",,Choose one. Use AIS user manual to find out the version. Recommend using the most recent version. AIS dictionaries developed earlier than 1990 are not recommended for use in this data collection,,AIS Injury Severity,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISFace,Face AIS,UDE,1,AIS severity of injury for this body region,AIS severity of injury for this body region,NUMERIC,,1,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,"For each combination of values recorded in AISBodyRegionChapterCat-AISInjurySeverityScore,enter the injury description from the medical documentation. This description is used to code the injury in AIS Code and desribes the precise injury. The injury descriptor in AIS code (refer to AISCode CDE) comprises the six digits to the left of the dot; this pre-dot code contains values indicating AIS body region injured captured in AISBodyRegionChapterCat and the rest of information, such as, type of structure injured, specific anatomic structure injured, and level of injury, which should be entered in this DE. The injury is described in the pre-dot vocabulary terms for positions 2-6. Using controlled vocabulary from the corresponding version of AIS dictionary is highly recommended. Refer to AISCode for the corresponding AIS code. Consult the corresponding version of AIS dictionary for legal values",,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISInjDscrptionTxt,Abbreviated injury scale (AIS) - injury clinical description text,CDE,1,"A clinical description of the subject injury(ies) from the medical documentation, as part of Abbreviated Injury Scale (AIS). The injury should preferably be described in the Abbreviated injury Scale code controlled vocabulary terms.","A clinical description of the subject injury(ies) from the medical documentation, as part of Abbreviated Injury Scale (AIS). The injury should preferably be described in the Abbreviated injury Scale code controlled vocabulary terms.",ALPHANUMERIC,,0,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,"For each body region, select the corresponding injury severity score.",,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISInjSevScore,Abbreviated injury scale (AIS) - Injury severity score,CDE,1,"An injury severity score (AIS) code, as part of the Abbreviated injury scale (AIS) code","An injury severity score (AIS) code, as part of the Abbreviated injury scale (AIS) code",ALPHANUMERIC,,1,,,{NULL},{NULL},{NULL},,Enter the 6 digit predate code for every patient injury,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISInjuryDesriptionTxt,Abbreviated injury scale (AIS) - injury clinical description text,CDE,1,"A clinical description of the subject injury(ies) from the medical documentation, as part of Abbreviated Injury Scale (AIS). The injury should preferably be described in the Abbreviated injury Scale code controlled vocabulary terms.","A clinical description of the subject injury(ies) from the medical documentation, as part of Abbreviated Injury Scale (AIS). The injury should preferably be described in the Abbreviated injury Scale code controlled vocabulary terms.",ALPHANUMERIC,,0,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISInjurySeverityScore,Abbreviated injury scale (AIS) - Injury severity score,CDE,1,"An injury severity score (AIS) code, as part of the Abbreviated injury scale (AIS) code","An injury severity score (AIS) code, as part of the Abbreviated injury scale (AIS) code",ALPHANUMERIC,,1,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISPreDot,Abbreviated Injury Score (AIS) - Predot,CDE,1,The abbreviated injury scale pre-dot codes that reflect the paitent's injuries,The abbreviated injury scale pre-dot codes that reflect the patient's injuries,ALPHANUMERIC,,0,,,"{5,0,6,2,1,4,3}","{5,0,6,2,1,4,3}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,"The subject's age is typically recorded to the nearest full year completed, e.g. 11 years and 6 months should be recorded as 11 years. For subject's which are under 1 year old, use decimal points and use the following convention- record 1 month as 0.083 (1/12), 2 months as 0.166 (2/12), 3 months as 0.25 (3/12), 4 months as 0.333 (4/12), 5 months as 0.416 (5/12), 6 months as 0.5 (6/12), 7 months as 0.583 (7/12), 8 months as 0.666 (8/12), 9 months as 0.75 (9/12), 10 months as 0.833 (10/12), 11 months as 0.916 (11/12) and 12 months as 1 year. For the individuals 90 or older, in order to preserve PII, please submit ""150"" and make a note this in the ""general notes"" column.",,,,No references available,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armdscrptn,Arm description,CDE,1,"If needed, additional descriptive information (including which interventions are administered in each arm) to differentiate each arm from other arms in the clinical trial.","If needed, additional descriptive information (including which interventions are administered in each arm) to differentiate each arm from other arms in the clinical trial.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,Enter other data source text,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArmGrpIntrvntCrssRf,Arm or group/interventional cross-reference,CDE,1,"If multiple Arms or Groups have been specified, indicate which Interventions (or exposures) are in each Arm or Group of the study, using the Cross-Reference check boxes.","If multiple Arms or Groups have been specified, indicate which Interventions (or exposures) are in each Arm or Group of the study, using the Cross-Reference check boxes.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armttl,Arm title,CDE,1,The short name used to identify the arm.,The short name used to identify the arm.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArmTyp,Arm type,CDE,1,The role of each arm in the clinical trial,The role of each arm in the clinical trial,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,Select all that apply.,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avlbltyexpndaccss,Availability of expanded access,CDE,1,"Whether there is expanded access to the investigational product for patients who do not qualify for enrollment in a clinical trial. Expanded Access for investigational drug products (including biological products) includes all expanded access types under section 561 of the Federal Food, Drug, and Cosmetic Act: (1) for individual participants, including emergency use; (2) for intermediate-size participant populations; and (3) under a treatment IND or treatment protocol.",Whether there is expanded access to the investigational product for patients who do not qualify for enrollment in a clinical trial.,ALPHANUMERIC,,1,,,"{unknown,yes,no}","{""Unknown If the responsible party is not the sponsor of the clinical trial and manufacturer of the investigational product"",""Yes Investigational product is available through expanded access"",""No Investigational product is not available through expanded access""}","{NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC,Blood Alcohol Level,UDE,1,Blood alcohol levelmeasurement,blood alcohol level measurement,NUMERIC,1000,0,0,1000,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brdaffltn,Board affiliation,CDE,1,Official name of organizational affiliation of the approving human subjects review board.,Official name of organizational affiliation of the approving human subjects review board.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brdapprvlnmum,Board approval number,CDE,1,Number assigned by the human subjects review board upon approval of the protocol. May be omitted if status is anything other than approved.,Number assigned by the human subjects review board upon approval of the protocol. May be omitted if status is anything other than approved.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brdcntct,Board contact,CDE,1,Contact information for the human subjects review board.,Contact information for the human subjects review board.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brdnme,Board name,CDE,1,Full name of the approving human subjects review board.,Full name of the approving human subjects review board.,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brfsmmry,Brief summary,CDE,1,"A short description of the clinical study, including a brief statement of the clinical study's hypothesis, written in language intended for the lay public.","A short description of the clinical study, including a brief statement of the clinical study's hypothesis, written in language intended for the lay public.",ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUN,BUN,UDE,1,Vaue of blood urea nitrogen,Vaue of blood urea nitrogen,NUMERIC,,0,,,{NULL},{NULL},{NULL},,"Choose one.  Response is obtained by report of the participant/subject or caretaker. If more detailed characterizations of ethnicity are collected to enhance data quality and consistency, it is recommended that they be ""collapsible"" up to the two categories for reportable ethnicity, as needed for reporting to FDA under its guidance. Other regulatory bodies may expect the reporting of ethnicity values which more appropriately reflect the population of their areas (e.g., Japanese ancestry for MHLW reporting to Japan). These may be collected as an extension to the suggested code list.",,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChlorideLevel,Chloride Level,UDE,1,serum measurement of chloride,serum measurement of chloride,NUMERIC,,0,,,{NULL},{NULL},{NULL},,Use this field to capture additional information,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cntry,Country,CDE,1,Country,Country,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,CO2,UDE,1,information related to measurement of the medical procedure that involves a measurement of the carbon dioxide gas in a biologicl specimen,information related to measurement of the medical procedure that involves a measurement of the carbon dioxide gas in a biologicl specimen,NUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complication,Complications,CDE,1,The complications from care of the participant/subject,The complications from care of the participant/subject,ALPHANUMERIC,,2,,,"{6,13,2,9,4,8,17,3,10,15,21,14,5,16,1,19,12,7,18,11,20}","{""central line-associated bloodstream infection"",""pulmonary embolism"",""alochol withdrawal syndrome"",""extremity compartment syndrome"",""cardiac arrest with cardio pulmonary resusciation"",""deep vein thrombosis"",""superficial incisional surgical site infection"",ards,""myocardial infarction"",""severe sepsis"",other,""pressure ulcer"",""catheter-associated urinary tract infection"",""stroke/cerbrovascular accident"",""acute kidney injury"",""unplanned return to the operating room"",osteomyelitis,""deep surgical site infection"",""unplanned admission to ICU"",""organ/space surgical site infection"",""ventilator associated pneumonia""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComplicationOthr,Complications Other,CDE,1,Other complications,other complications,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTcmprssn,CT compression of basal cistern,UDE,1,Assessment of compression of basal cistern on CT Scan,Assessment of compression of basal cistern on CT Scan,ALPHANUMERIC,,1,,,"{2,5,1,3,4}","{no,improved,yes,worsen,stable}","{NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTcntsn,CT contusion,UDE,1,Assessment of contusion on CT Scan,Assessment of contusion on CT Scan,ALPHANUMERIC,,1,,,"{2,5,1,3,4}","{no,improved,yes,worsen,stable}","{NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctedma,CT edema,UDE,1,Assessment of  brain edema on CT Scan,Assessment of  brain edema on CT Scan,ALPHANUMERIC,,1,,,"{2,5,1,3,4}","{no,improved,yes,worsen,stable}","{NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctischmia,CT ischemia,UDE,1,Assessment of ischemia on CT Scan,Assessment of ischemia on CT Scan,ALPHANUMERIC,,1,,,"{2,5,1,3,4}","{no,improved,yes,worsen,stable}","{NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTmdlnshft,CT midline shift,UDE,1,Assessment of midline shift on CT Scan,Assessment of midline shift on CT Scan,ALPHANUMERIC,,1,,,"{2,5,1,3,4}","{no,improved,yes,worsen,stable}","{NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctovrll,CT overall,UDE,1,Assessment of overall CT Scan,Assessment of overall CT Scan,ALPHANUMERIC,,1,,,"{3,1,2}","{improved,worsen,stable}","{NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cty,City,CDE,1,City,City,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSource,Data Source,CDE,1,Source of the data provided on the case report form.,Source of the data provided on the case report form.,ALPHANUMERIC,,2,,,"{""Chart/medical record"",Unknown,Physician,Friend,Participant/subject,Son,Mother,""Family, specify relation"",""Other, specify"",Spouse,Brother,Sister,Daughter,Father}","{""Chart/Medical record"",Unknown,Physician,Friend,Participant/subject,Son,Mother,""Family, specify relation"",""Other, specify"",Spouse,Brother,Sister,Daughter,Father}","{2,999,9,5,8,11,6,444,777,12,1,10,3,4}",,,,Who is the source of this information in relation to the subject?,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataSourceOTH,Data source other,CDE,1,The free-text field related to Data source specifying other text. Source of the data provided on the case report form,The free-text field related to Data source specifying other text. Source of the data provided on the case report form,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,"Record as many as needed; please refer to http: //www.cdc.gov/nchs/icd.htm. Response is obtained from report by subject/participant (if possible), witnesses, first responders, family and/or medical records. The cause of injury is particularly important from an epidemiologic perspective, but may also be related to mechanism of injury and consequently type and extent of brain damage.ÃÂÃÂÃÂÃÂ ",,"Other, specify",,No references available,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiaBloodPressr,Diastolic Blood Pressure,CDE,1,Measurement of pressure of the participant's/subject's blood against the artery walls during diastole (the relaxation phase) in millimeters of mercury (mmHg),Measurement of pressure of the participant's/subject's blood against the artery walls during diastole (the relaxation phase) in millimeters of mercury (mmHg),NUMERIC,300,0,0,300,{NULL},{NULL},{NULL},Millimeters of Mercury,,,,,No references available,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISPO_ID,DISPO_ID,UDE,1,ID of disposition of patient,ID of disposition of patient,NUMERIC,23,0,1,23,"{23,7,10,8,4,3,16,17}","{23d,7,10,8,4,3,16,17}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disposition,disposition,UDE,1,The disposition of the patient when discharged from the hospital,The disposition of the patient when discharged from the hospital,ALPHANUMERIC,,0,,,"{""residentail facility"",""inpatient rehab facility"",""inpatient outstate"",expired,""inpatient instate"",""subacute rehab facility"",""acute care""}","{""residentail facility"",""inpatient rehab facility"",""inpatient outstate"",expired,""inpatient instate"",""subacute rehab facility"",""acute care""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dspstion,Disposition,UDE,1,The disposition of the patient when discharged from the hospital,The disposition of the patient when discharged from the hospital,ALPHANUMERIC,,1,,,"{""Inpatient Instate"",""Inpatient Outstate"",""Acute Care"",""Subacute Rehab Facility"",Expired,""Home to services"",""Inpatient Rehab Facility"",""Home No Services"",""Residential Facility""}","{"""","""","""","""","""","""","""","""",""""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dspstn,Disposition,UDE,1,The disposition of the patient when discharged from the hospital,The disposition of the patient when discharged from the hospital,ALPHANUMERIC,,1,,,"{""Subacute Rehab"",""Inpatient Instate"",""Inpatient Outstate"",""Acute Care"",Expired,""Home to services"",""Inpatient Rehab"",""Residential Facility""}","{"""","""","""","""","""","""","""",""""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dspstn,Disposition,UDE,1,The disposition of the patient when discharged from the hospital,The disposition of the patient when discharged from the hospital,ALPHANUMERIC,,1,,,"{""Inpatient Instate"",""Inpatient Outstate"",""Acute Care"",""Subacute Rehab Facility"",Expired,""Home to services"",""Inpatient Rehab Facility"",""Residential Facility""}","{"""","""","""","""","""","""","""",""""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECodeTxt,Ecode Text Description,UDE,1,Description of mechani+B14+D14,Description of mechanism of injury based upon Ecode,ALPHANUMERIC,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDArrivalDateTime,ED Admit Date and Time,CDE,1,Date and time the particpant arrived at the Emergency Department,Date and time the particpant arrived at the Emergency Department,DATE,,0,,,{NULL},{NULL},{NULL},,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDschrgDispo,ED Disposition,CDE,1,The disposition of the participant when discharged from the ED,The disposition of the participant when discharged from the ED,ALPHANUMERIC,,2,,,"{11,2,6,5,7,9,1,4,8,3,10}","{""transferred to another hospital"",""observation unit"",other,deceased/expired,""operating room"",""home without services"",""floor bed"",""home with services"",""intensive care unit"",""telemetry/step-down unit"",""left against medical advice""}","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDDschrgDispoOthr,ED Disposition Other,CDE,1,The discharge location if Other chosen above,The discharge location if Other chosen above,ALPHANUMERIC,,1,,,"{1,3,2}","{jail,""mental health"",""instutional care""}","{NULL,NULL,NULL}",,,,,,,Adult and Pediatric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
